path,theta,gamma,vega,delta_mismatch,residual,costs,total_pnl
222,1.7225769080533442,-1.5141701761913655,0.0,0.0,0.08376840807714123,0.0,0.2921751399391468
223,3.322090131255958,-3.2468882988002137,0.0,0.0,0.037029761196814844,0.0,0.11223159365248137
224,2.727678994839408,-3.1747326650897136,0.0,0.0,-0.035027698693919994,0.0,-0.4820813689442076
225,1.302890757672508,-1.3198598672265205,0.0,0.0,0.1130510210287687,0.0,0.09608191147481193
226,3.0434633702872027,-2.9932620286588274,0.0,0.0,0.005013258987368502,0.0,0.05521460061571304
227,3.1331078971215764,-3.2019444728815816,0.0,0.0,-0.1162771962425556,0.0,-0.18511377200256618
228,2.1614634541371816,-2.615485191442447,0.0,0.0,0.08092845670785682,0.0,-0.37309328059745894
229,2.2500912413852614,-3.062987504636575,0.0,0.0,0.037167584252006974,0.0,-0.7757286789992719
230,1.0309867942013833,-1.085178126042922,0.0,0.0,0.11513899975062991,0.0,0.06094766790918982
231,2.1882980225375293,-1.9568252701713544,0.0,0.0,-0.048074607331691006,0.0,0.1833981450344453
232,1.1329948318509289,-1.4442381684189867,0.0,0.0,0.10423679816624237,0.0,-0.2070065384018278
233,2.3537924489388122,-1.7724223810527462,0.0,0.0,-0.09825711407638611,0.0,0.48311295380970876
234,2.534988230747011,-2.5292290836928215,0.0,0.0,-0.04732860577142957,0.0,-0.04156945871720552
235,1.5343408170040334,-1.3753412159893237,0.0,0.0,0.07888788887480773,0.0,0.2378874898894452
236,1.67034744245821,-2.1603492604254884,0.0,0.0,0.04637306588859521,0.0,-0.4436287520786948
237,1.8248234843243663,-1.7128786907182012,0.0,0.0,0.09411128222039733,0.0,0.20605607582649554
238,0.48971887618218213,-0.8042515480029235,0.0,0.0,0.13166060756029718,0.0,-0.18287206426053615
239,1.180374286695927,-1.0099813383752965,0.0,0.0,-0.1325501484490903,0.0,0.037842799871555144
240,2.029393173114915,-1.896151638576403,0.0,0.0,0.09628216412307924,0.0,0.22952369866160893
241,2.856771081807852,-2.765211350721584,0.0,0.0,0.06169796576321744,0.0,0.15325769684947943
242,1.148507056079077,-0.988549734131417,0.0,0.0,-0.13750885690226403,0.0,0.02244846504555653
243,1.9471055193616555,-1.671635770477178,0.0,0.0,-0.06922205286769205,0.0,0.20624769601677428
244,3.5822532543458574,-4.350864113855289,0.0,0.0,-0.03575667875822721,0.0,-0.8043675382676412
245,2.964925934358308,-2.912109689867528,0.0,0.0,-0.04604895755011305,0.0,0.006767286940700501
246,2.031211076062309,-2.1309623205477783,0.0,0.0,0.06146462343116799,0.0,-0.038286621054311354
247,0.9166410872089321,-1.0176408732138884,0.0,0.0,0.12272981848242244,0.0,0.021730032477378813
248,2.573636651048005,-2.4797021189990254,0.0,0.0,0.10283961979402517,0.0,0.19677415184301594
249,1.3399166224093213,-1.6562314254247654,0.0,0.0,0.0756367118311534,0.0,-0.24067809118430716
250,3.529098804242774,-3.365710200054982,0.0,0.0,0.05190365144037121,0.0,0.21529225562815668
251,1.4429800789258904,-1.4795279156833026,0.0,0.0,0.1015888615084637,0.0,0.0650410247509825
252,1.4681191784404135,-1.4523398936705225,0.0,0.0,0.08821524788807392,0.0,0.10399453265792147
253,3.5448665075496884,-4.496859028980959,0.0,0.0,0.1431303448520899,0.0,-0.8088621765792112
254,1.2499244480188654,-1.4963304218667832,0.0,0.0,0.11715270695070393,0.0,-0.12925326689735073
255,1.6838460780881563,-1.3345363142132567,0.0,0.0,-0.10140923363164452,0.0,0.24790053024324266
256,1.9162281342163885,-2.036259516851212,0.0,0.0,0.048029299635020874,0.0,-0.07200208299975941
257,0.7852934379778483,-1.0307603868496027,0.0,0.0,0.13065969624219817,0.0,-0.11480725262948965
258,1.0403506427578517,-0.7736849504826285,0.0,0.0,-0.13726709549989013,0.0,0.12939859677528887
259,1.9260691633813973,-1.6374746403824456,0.0,0.0,-0.08270267755995066,0.0,0.20589184543906924
260,3.4630563131093903,-3.365972460028697,0.0,0.0,-0.05264938485373672,0.0,0.04443446822695307
261,1.9237820728412214,-2.2769705952881876,0.0,0.0,0.09328973589135194,0.0,-0.2598987865556097
262,2.015773729519519,-1.6317048359317423,0.0,0.0,-0.0698326826208801,0.0,0.3142362109667971
263,3.628866198369426,-3.434832943901141,0.0,0.0,0.04246146818432336,0.0,0.2364947226526084
264,1.9271689869719268,-1.9547511052071531,0.0,0.0,-0.0808472247410253,0.0,-0.10842934297618001
265,2.4123161869314917,-2.082268169102113,0.0,0.0,-0.1384441545813417,0.0,0.19160386324807632
266,1.2295899152234586,-1.4766749515018294,0.0,0.0,0.11122819807914502,0.0,-0.13585683819923133
267,1.5621095035302839,-1.6111845424734692,0.0,0.0,-0.11127942103082163,0.0,-0.16035445997397346
